作品名,创作类型,题材,年份,别名,event_id,年谱原文片段(供查找用)
水经注,著述,其他,1865,水经注; 释瀔篇; 古印文字考,evt_00003,《自撰年谱稿》：“余降生于前清同治三年，岁次乙丑，正月子时，因未立春，星命家以为甲子年、丁丑月、丁酉日、庚子时。先是父大人奉余祖母程（按：为‘潘’之误）避兵，由歙西潭渡至浙东金华县南五十里白砂岭。祖母程（按：同为‘潘’之误）殁，殡于里郑村之白砂寺。是年太平军南京失守，江南各处人民入都市，我家迁移县城之西铁岭头。有双溪水环城合流为瀔水，水名载《水经注》，后获一字古玉印，作《释瀔篇》，存《古印文字考》，未梓行，即余降生之地，因名其堂曰‘谷玉’。”
八十自述,作画,山水,1869,八十自述,evt_00042,《八十自述》：“幼年六七歳，随先君寓浙东，因避洪杨之乱至金华山。家塾延蒙师，课读之暇，见有图画，必细意观览。先君喜古今书籍书画，侍侧常听之，记之心目，辄为仿效涂抹，遇能书画者，必访问穷究其理法。时有萧山倪丈炳烈善书，其从子淦，七岁即能画人物花鸟。其父倪翁，忘其名，常携至余家。观其所作画，心喜之而勿善也，意作画不应如是之易，以其粗率，不假思索耳。其父年近六旬，每论画理，言作画必先悬纸于壁上而熟视之，明日往观，坐必移时，如是三日，而后落笔。余从旁窃笑，以为此翁道气太过，好欺人。请益于先君，诏之曰：‘儿知王勃腹稿乎？’因知古人文章书画，皆贵胸有成竹，未可枝枝节节为之也。翌日，倪翁至，叩以画法，不答。
劝学赘言,著述,花鸟,1871,劝学赘言; 凤山笔记,evt_00059,族侄黄崇惺，字次荪，由庶吉士分发福建归化知县，道经金华，馆塾中，为订课程。随父陪同游览金华八咏楼，次荪指问林中红叶，乃以唐诗对；又问草虫，答以蚱蜢；又问可知蚱蜢为舴艋之谐音，答以小舟，象形也。次荪称奇。抵闽中归化县后，为荐歙程健行来金华黄氏家塾教授，并自闽中邮寄自著《劝学赘言》、《凤山笔记》，以及重订《潭渡杂志》等书供研习。
潭渡琐志,著述,山水,1871,潭渡琐志; 先德录,evt_00060,《自撰年谱》稿：“辛未，四弟生。歙潭渡族次荪太史崇惺以（按：原稿破残，应为‘咸丰辛亥浙榜’）入翰林，是年黄山丰乐水流域十里中，同榜者为郑成章、汪运钥、洪镔。次荪太史来浙至金华，馆余家塾中，为订课程。游八咏楼，余见□□□（按：原稿不清，疑为米万锺）诗石刻，能成诵。抵闽，尝以所著寄赠，有重订《潭渡琐志》，知种族自江夏来，始于东晋。详余所著《先德录》。”
自述稿,著述,篆刻,1871,自述稿; 续印人传,,
歙潭渡黄氏先德录,题跋,花鸟,1871,歙潭渡黄氏先德录; 劝学赘言; 凤山笔记; 二江草堂诗; 草心楼题画诗,evt_00062,《歙潭渡黄氏先德录》：“次荪太史，讳崇惺，原名崇姓，字麐士，号次孙，真民先生孙。幼颖异，从父雨墩司训钟爱之。长遭兵乱，时同族虎卿观察任汉黄道，客汉臯。旋中咸丰辛亥浙榜，同治辛未授庶吉士，令闽中。先考鞠如府君侨浙东，君迂道来拜，府君命余兄弟出谒。余方八龄，随登婺州之八咏楼，指问林中红叶，余举唐人诗以对；又问草虫，余称蚱蜢，君笑曰：‘子知蚱蜢为舴艋之谐声乎？’余因曰：‘小船也，亦象形也。’乃大噱。明年为敦请同邑程健行师教授，屡邮在闽中所著《劝学赘言》、《凤山笔记》，及重刊《潭滨杂志》等书至。未几卒于任所，历任归化、福清知县，署汀州同知。有《二江草堂诗》、《草心楼题画诗》，未及梓（按：《草心楼题画诗
凤山笔记,著述,其他,1871,凤山笔记; 郡志辩证; 劝学赘言; 集虚斋赋存; 文存,evt_00063,《民国歙县志》：“黄崇惺，原名崇姓，字次荪，潭渡人。幼颖异，长遭兵乱，客汉臯。咸丰辛亥浙榜举人，同治辛未进士，历任福建归化、福清知县，署汀州同知，所至有政声。诗文皆雅健，著述甚富，多有关吾乡掌故之作，其《凤山笔记》专记太平军入徽始末甚详。同治中议修府志，崇惺作《郡志辩证》，订道光志之失凡数十事，皆精确。又著有《劝学赘言》、《集虚斋赋存》、《文存》、《二江草堂诗集》、《草心楼读画诗》。”
松菊图,作画,其他,1873,松菊图,evt_00071,父命临摹倪易甫乙丑年所作《松菊图》。随父游览杭州并写生。
字诂,篆刻,篆刻,1874,字诂; 梦陔堂文说; 经说,evt_00078,春返金华。读族祖黄白山《字诂》，及黄春谷《梦陔堂文说》、《经说》，并开始学习刻印。
梦陔堂诗,著述,篆刻,1874,梦陔堂诗; 字诂; 义府; 经说,evt_00081,又：“春谷公讳承吉，初名萼棣，字谦牧，仰岑公次子。幼读书聪敏，博综两汉诸儒论说。全椒金棕亭先生退官时，侨居相近，一见即赠诗，备极倾许。籍江都学生员，与同郡焦理堂（循）、李滨石（钟泗）、江郑堂（藩）诸先生友善，日以经义相切磨，当时有江、焦、黄、李四友之目。中嘉庆戊午解元，乙丑成进士，令广西兴安、岑溪诸县。充戊辰试考官，拔名宿汪能肃。公所议事，率以才能屈其坐人，缘是渐为同僚所诋，竟以文书失落劾罢。道光初捐复道员。粤行凡经四险，众将不生。因年老，一意发愤著述，有《梦陔堂诗》，集数十年，总五十卷。校正经史，钩稽贯穿，每出旷识，正古文人之是非。辨扬雄、班固论司马迁之非，斥扬雄谀王莽等，作为说十一篇，总三
黄宾虹,篆刻,其他,1874,黄宾虹,evt_00082,王伯敏《黄宾虹》：“他的父亲藏有邓石如、丁敬等的印集，但嫌他年纪小，祇给他看了一下，就放回书箱。有一次，他趁父亲外出，偷偷地把它取了出来，花了一个月的时间，临刻了邓石如的篆印十多方。他的父亲回来，看到这些临刻，初还不信，及到亲眼见他奏刀时，才惊呆了。那时黄宾虹祇有十一岁。”
黄宾虹在徽州,题跋,其他,1877,黄宾虹在徽州; 风帆江上归; 练江东望图,evt_00102,黄警吾《黄宾虹在徽州》：“第二年，定华公又要他附族人崇保伴，偕同二弟仲芳再回徽，宾老应院试，先父应童子试。船到严州转港后，因时间比去年迟些，看不见打渔翁，问起船篙长，才知道鲥鱼有的时间很短，由海里来产卵，产后就走，所以难遇它。宾老听了这些话，心中暗想，难怪去年所谓讨彩头了，立刻感觉到今年‘没彩头’。母亲又说过，明年难得多。正在闷想间，二弟画了一幅《风帆江上归》拿给他看，打断了他的闷想，转身为画题诗写跋，并引起他的兴趣，也画了一幅《练江东望图》。次日下午船抵朱家村要卸货，时间尚早，崇保主张赶到家，大家立即起船，匆匆上路，到潭渡已万家灯火，幸崇保路熟，送他们到有华二伯家。二伯父母早知他们要来，已有
家庆图,作画,人物,1879,家庆图,evt_00119,义乌画师陈春帆为绘《家庆图》大幅。从陈氏习人物画。
虹庐画谈,著述,其他,1879,虹庐画谈,evt_00175,《虹庐画谈》：“曩余寓居白下，因望江倪曦侯（昶）识贵池刘恭甫（贻让）。恭甫时方弱冠，喜画山水，为写《幽亭古木图》箑面以赠余，余爱之重之。又出眎家藏绣水王安节（槩）、王伏草（蓍）兄弟画册，益信其泽古功深，非率尔涂抹者可比也。”
