row,作品名,年份,event_id,状态,图片路径,图片URL,来源,查询词,匹配分数,命中作品名,命中作者,图片哈希,候选数量,候选1,候选2,候选3,错误信息
2,八十自述,1869,evt_00042,已下载,C:\Users\wu\Desktop\待查作品图片\002_八十自述.jpg,"https://img2.baidu.com/it/u=4111361670,1442889537&fm=253&fmt=auto&app=120&f=JPEG?w=978&h=800",百度图片-凤凰文化,黄宾虹《八十自述》,19,TRUE,TRUE,dee599c8e12d75a8f7e3129e98e0455779f22170a3d75a0769022984344f523b,5,"[19 作品名=False 查询作品名=True 作者=True] 📜黄宾虹与马一浮的珍贵信札诗稿集 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_nnbdnaanmcc00a90mdl | https://img2.baidu.com/it/u=4111361670,1442889537&fm=253&fmt=auto&app=120&f=JPEG?w=978&h=800","[19 作品名=False 查询作品名=True 作者=True] 《黄宾虹》100x68cm(现有作品) - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0calal0clb8ld0mmdn9 | https://img1.baidu.com/it/u=3585848833,3082457150&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1156","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹手札 | ippr_z2C$qAzdH3FAzdH3F4p_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Fbc0dmc9dc_8d88d908a | https://img2.baidu.com/it/u=1221326338,4011581686&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=626",
6,频虹藏铜印记,1884,evt_00171,已下载,C:\Users\wu\Desktop\待查作品图片\006_频虹藏铜印记.jpg,"https://img0.baidu.com/it/u=3503184997,4172576114&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=514",百度图片-百度百科,黄宾虹《频虹藏铜印记》,19,TRUE,TRUE,8f4c5b93297475e63969431f27552d6dca3cba0fee66d0611e9eb511623fe3ef,5,"[19 作品名=False 查询作品名=True 作者=True]  p>黄宾虹(1865年1月27日—1955年3月25日),初名懋质,后改名质,字朴存 | ippr_z2C$qAzdH3FAzdH3Fkwthj_z&e3Bkwt17_z&e3Bv54AzdH3Ftpj4AzdH3F%El%BB%b9%Em%lm%bC%Eb%ll%BlAzdH3F8d0mcl8a | https://img0.baidu.com/it/u=3503184997,4172576114&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=514","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹 | ippr_z2C$qAzdH3FAzdH3Fv7s_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Flabcl9aab_8d88d908a | https://img2.baidu.com/it/u=950225232,1666270136&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=1124","[19 作品名=False 查询作品名=True 作者=True] 一代书画大师黄宾虹先生五言精品对联欣赏交#无尽藏品 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0cadmn0bcna00n8a090 | https://img0.baidu.com/it/u=635110041,51075162&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067",
10,韬庐图,1897,evt_00303,已下载,C:\Users\wu\Desktop\待查作品图片\010_韬庐图.jpg,"https://img2.baidu.com/it/u=3394385038,4169568072&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067",百度图片-中贸圣佳,黄宾虹 韬庐图 画,19,TRUE,TRUE,16090ad936f110489ee671061232bcaa4c745cb38c6376afcfb322a72e21b892,5,"[19 作品名=False 查询作品名=True 作者=True] 一屋灯起,万山通明.#国画艺术 #黄宾虹山水 #浙江博物馆 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0caa0b0a0la090dldca | https://img2.baidu.com/it/u=3394385038,4169568072&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067","[19 作品名=False 查询作品名=True 作者=True] 🎨 浙博再遇黄宾虹 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_9cbb9mab0m8ba8aa8cb | https://img1.baidu.com/it/u=2694082579,3658184646&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=653","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹《山水四绝》欣赏指南 🌄 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_9d0mb09nc8balnaa0mc | https://img0.baidu.com/it/u=4154744151,3885057781&fm=253&fmt=auto&app=138&f=JPEG?w=514&h=500",
14,疏林淡山图,1908,evt_00504,已下载,C:\Users\wu\Desktop\待查作品图片\014_疏林淡山图.jpg,"https://img1.baidu.com/it/u=880967168,3686805236&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067",百度图片-中国美术馆,《疏林淡山图》 黄宾虹,19,TRUE,TRUE,b38acde47f02e893b0b8ce1556c3d5d4e05281f994b63475d2e8aeefc4751b94,5,"[19 作品名=False 查询作品名=True 作者=True] 黄宾虹 山水 纸本立轴 画芯尺寸:138*35cm(9595 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F09blda098ndc99l89cc | https://img1.baidu.com/it/u=880967168,3686805236&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹:浅设色山水图册 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Fl08lnndd9_8d88dnb9b | https://img0.baidu.com/it/u=3389332092,1332455196&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=500","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹的山水画,干笔淡墨,疏淡清逸,空灵古雄 | ippr_z2C$qAzdH3FAzdH3Fv7s_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Flda00nbm0_8d88d90nn | https://img2.baidu.com/it/u=3071327344,3767100614&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=706",
18,蒹葭图,1909,evt_00535,已下载,C:\Users\wu\Desktop\待查作品图片\018_蒹葭图.jpg,"https://img1.baidu.com/it/u=3585848833,3082457150&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1156",百度图片-艺术中国,《蒹葭图》 黄宾虹,19,TRUE,TRUE,d230ca1b5d9e0e3bef56375573861db020161e22aca737214b4673d72c36c098,5,"[19 作品名=False 查询作品名=True 作者=True] 《黄宾虹》100x68cm(现有作品) - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0calal0clb8ld0mmdn9 | https://img1.baidu.com/it/u=3585848833,3082457150&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1156","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹:我从何处得粉本?雨淋墙头月移壁. | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B8mn_z&e3Bv54AzdH3F1yAzdH3Fw6ptvsjAzdH3FKJmmEQQLacd8BMHc_z&e3Bip4s | https://img2.baidu.com/it/u=3461450773,1358351280&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=1106","[19 作品名=False 查询作品名=True 作者=True]  p>黄宾虹(1865年1月27日—1955年3月25日),初名懋质,后改名质,字朴存 | ippr_z2C$qAzdH3FAzdH3Fkwthj_z&e3Bkwt17_z&e3Bv54AzdH3Ftpj4AzdH3F%El%BB%b9%Em%lm%bC%Eb%ll%BlAzdH3F8d0mcl8a | https://img0.baidu.com/it/u=1370763459,1059484482&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=673",
22,浅绛新安山水图册,1909,evt_00557,已下载,C:\Users\wu\Desktop\待查作品图片\022_浅绛新安山水图册.jpg,"https://img2.baidu.com/it/u=612456176,7275781&fm=253&fmt=auto&app=138&f=JPEG?w=1141&h=800",百度图片-腾讯文化,黄宾虹《浅绛新安山水图册》,19,TRUE,TRUE,ed8c72e4fdd562d170330e09e74cabad93739488b3a9b6ebeac2231dccafd4d0,5,"[19 作品名=False 查询作品名=True 作者=True] 无愧于时代----大师黄宾虹山水《新安江》,款识:新安江上纪 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F09lcmc9c0mn9bm0l9m9 | https://img2.baidu.com/it/u=612456176,7275781&fm=253&fmt=auto&app=138&f=JPEG?w=1141&h=800","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹 山水 纸本立轴 画芯尺寸:138*35cm(9595 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F09blda098ndc99l89cc | https://img1.baidu.com/it/u=880967168,3686805236&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067","[19 作品名=False 查询作品名=True 作者=True] 自然是活勉强即死黄宾虹先生逝世70周年 | ippr_z2C$qAzdH3FAzdH3Fv7s_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Fbmnncbcdd_8dad08bad | https://img0.baidu.com/it/u=1909866108,3106261465&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=697",
26,黄宾虹十事考：文美盛会,1912,,已下载,C:\Users\wu\Desktop\待查作品图片\026_黄宾虹十事考：文美盛会.jpg,"https://img0.baidu.com/it/u=4143177616,879593809&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=1063",百度图片-360百科,黄宾虹《黄宾虹十事考：文美盛会》,19,TRUE,TRUE,9fb428c912917d53a9b7893e489980f2e9a7f3314e7bc98ee71fc2d2106c4f49,5,"[19 作品名=False 查询作品名=True 作者=True] 国画大师黄宾虹篆书对联欣赏【六】 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_9m8b8ndddb9dllnbmcm | https://img0.baidu.com/it/u=4143177616,879593809&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=1063","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹八十八岁高龄篆书作品欣赏 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_9b0m8lab98nllddd0c9 | https://img1.baidu.com/it/u=2324217739,2830546507&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=880","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹金文对联欣赏.此作文辞书法俱佳,观之如对古物,尘虑全消 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F0cabdmb8n009d8cl8a9 | https://img1.baidu.com/it/u=2782783490,1122101731&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067",
30,冲雪访碑图,1914,evt_00900,已下载,C:\Users\wu\Desktop\待查作品图片\030_冲雪访碑图.jpg,"https://img1.baidu.com/it/u=2728328890,2717506802&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=667",百度图片-上海中国画院,黄宾虹《冲雪访碑图》,19,TRUE,TRUE,928f99315d71f3b7bf6903b864ae6d7dbf7c64d1387b7df21c4f68df2b23edad,5,"[19 作品名=False 查询作品名=True 作者=True] 西泠印社社藏名家大系 | 黄宾虹卷:冰上鸿飞(七) | ippr_z2C$qAzdH3FAzdH3Fgjof_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Fl8mcccd9a_8d888ln0m | https://img1.baidu.com/it/u=2728328890,2717506802&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=667","[19 作品名=False 查询作品名=True 作者=True] 西泠印社社藏名家大系 | 黄宾虹卷:冰上鸿飞(一) | ippr_z2C$qAzdH3FAzdH3Fojtk5_z&e3Bv54AzdH3Fppw6ptvsjAzdH3FrAzdH3Ffi5o?t1=dnal9ac80mdbadmlcbm90n | https://img0.baidu.com/it/u=1980568691,2546094386&fm=253&fmt=auto&app=120&f=JPEG?w=500&h=761","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹山水画:冲和之境的探索 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_9dbcnabbc8c9cmmn8b9 | https://img1.baidu.com/it/u=466790595,1195703637&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=652",
34,蒹葭楼诗,1915,evt_00962,已下载,C:\Users\wu\Desktop\待查作品图片\034_蒹葭楼诗.jpg,"https://img1.baidu.com/it/u=4132421828,1769683706&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=568",百度图片-荣宝斋,黄宾虹《蒹葭楼诗》,14,TRUE,TRUE,188b6c76c00a41e22fa5496fd5c42b21f350b5e6d03916a165da0daddd0bd104,5,"[14 作品名=False 查询作品名=True 作者=False] 古诗词《蒹葭》全文 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_cnnccbmaldc0009ddln | https://img1.baidu.com/it/u=4132421828,1769683706&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=568","[14 作品名=False 查询作品名=True 作者=False] 《蒹葭》诗情画意:秋水伊人觅佳人 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_9lbl0a9bdlb0088cdn8 | https://img0.baidu.com/it/u=1507333015,4044107344&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=636","[14 作品名=False 查询作品名=True 作者=False] 《蒹葭》三大美学:意境,含蓄,朦胧 | ippr_z2C$qAzdH3FAzdH3F4k1_z&e3Bkwt17_z&e3Bv54AzdH3Fgjofrw2jAzdH3F1wpwAzdH3F1pswg1tg2f7rj6?gt1=1p_9am9n8ccacm9m0acnba | https://img2.baidu.com/it/u=3527050129,3680313980&fm=253&fmt=auto&app=138&f=PNG?w=500&h=690",
38,涧水林木图,1917,evt_01045,已下载,C:\Users\wu\Desktop\待查作品图片\038_涧水林木图.jpg,"https://img0.baidu.com/it/u=1909866108,3106261465&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=697",百度图片-中国嘉德,黄宾虹 涧水林木图,19,TRUE,TRUE,3463200a9dc14594f5e8b7ca41afe80e01dda8cb50bee1fcc51d12bc4fa23b64,5,"[19 作品名=False 查询作品名=True 作者=True] 黄宾虹 山水 纸本立轴 画芯尺寸:138*35cm(9595 - 抖音 | ippr_z2C$qAzdH3FAzdH3Fooo_z&e3B157ytg_z&e3Bv54AzdH3Fg5pjAzdH3F09blda098ndc99l89cc | https://img1.baidu.com/it/u=880967168,3686805236&fm=253&fmt=auto&app=138&f=JPEG?w=800&h=1067","[19 作品名=False 查询作品名=True 作者=True] 自然是活勉强即死黄宾虹先生逝世70周年 | ippr_z2C$qAzdH3FAzdH3Fv7s_z&e3Bf5i7_z&e3Bv54AzdH3FwAzdH3Fbmnncbcdd_8dad08bad | https://img0.baidu.com/it/u=1909866108,3106261465&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=697","[19 作品名=False 查询作品名=True 作者=True] 黄宾虹的山水画:笔墨交融,意境深远 | ippr_z2C$qAzdH3FAzdH3Fkwt3twiw5_z&e3Bkwt17_z&e3Bv54AzdH3Ff?t1=8bdaldlcanlddllacan&ou6=frt1j6&u56=rv | https://img0.baidu.com/it/u=791682277,3217862282&fm=253&fmt=auto&app=138&f=JPEG?w=500&h=909",
