作品名,创作类型,题材,年份,别名,event_id,年谱原文片段(供查找用)
八十自述,作画,山水,1869,八十自述,evt_00042,《八十自述》：“幼年六七歳，随先君寓浙东，因避洪杨之乱至金华山。家塾延蒙师，课读之暇，见有图画，必细意观览。先君喜古今书籍书画，侍侧常听之，记之心目，辄为仿效涂抹，遇能书画者，必访问穷究其理法。时有萧山倪丈炳烈善书，其从子淦，七岁即能画人物花鸟。其父倪翁，忘其名，常携至余家。观其所作画，心喜之而勿善也，意作画不应如是之易，以其粗率，不假思索耳。其父年近六旬，每论画理，言作画必先悬纸于壁上而熟视之，明日往观，坐必移时，如是三日，而后落笔。余从旁窃笑，以为此翁道气太过，好欺人。请益于先君，诏之曰：‘儿知王勃腹稿乎？’因知古人文章书画，皆贵胸有成竹，未可枝枝节节为之也。翌日，倪翁至，叩以画法，不答。
松菊图,作画,其他,1873,松菊图,evt_00071,父命临摹倪易甫乙丑年所作《松菊图》。随父游览杭州并写生。
字诂,篆刻,篆刻,1874,字诂; 梦陔堂文说; 经说,evt_00078,春返金华。读族祖黄白山《字诂》，及黄春谷《梦陔堂文说》、《经说》，并开始学习刻印。
黄宾虹,篆刻,其他,1874,黄宾虹,evt_00082,王伯敏《黄宾虹》：“他的父亲藏有邓石如、丁敬等的印集，但嫌他年纪小，祇给他看了一下，就放回书箱。有一次，他趁父亲外出，偷偷地把它取了出来，花了一个月的时间，临刻了邓石如的篆印十多方。他的父亲回来，看到这些临刻，初还不信，及到亲眼见他奏刀时，才惊呆了。那时黄宾虹祇有十一岁。”
家庆图,作画,人物,1879,家庆图,evt_00119,义乌画师陈春帆为绘《家庆图》大幅。从陈氏习人物画。
叙印谱,篆刻,篆刻,1883,叙印谱,evt_00156,《叙印谱》：“自来藏印之伙，无如汪讱庵。余族聚居新安之潭上，去讱庵飞鸿堂故址仅六七十里，往来江淮间，舟行必经其地，至则徘徊瞻望，未尝不怀想其遗风。询所藏印，则归西溪汪氏久矣。洎客游归里门，与西溪汪氏衡宇相望，又获交其贤士大夫，始稍得窥其所藏印谱。不数年间，又得见其印谱中所有之印。”
频虹藏汉铜印记,作画,山水,1883,频虹藏汉铜印记,evt_00158,《频虹藏汉铜印记》：“余髫龄喜琢刻，弱冠旋新安，闻绵潭汪讱庵富藏印，道咸间物归西溪汪氏。余友汪怀之喜为文辞，工书法。一日，出其印箧中‘鹰扬将军’章示余，篆文深细急就，盖军中所刻章也。涂银龟纽，青绿斑驳，因玩爱不释手。怀之心知之，慨以赠余。余孑然存箧中，挟之游白门、维扬者垂五六年。海阳李梓庭工画多收藏，见印欲以郑遗蕤所画山水册相易。郑因明遗民，文行卓著，而画尤超特，与余族祖白山公交最笃，尤窃慕之，卒以将军印易去。印即讱庵物也。阅数年，余归自维扬，西溪汪德扬为余言其家中曩藏印之富，经兵燹后毁弃殆尽，间从尘土中捡得其十数纽，然入卖人手过半矣。余急询其仍有存者否，因得‘大医司马’等司马印两纽，酬之金。
频虹藏铜印记,作画,山水,1884,频虹藏铜印记; 自叙,evt_00171,存考：这十年是谱主自述纪年材料匮乏的时期。上年条下所引《频虹藏铜印记》所云前“垂五六年”后“垂四五年”，年之总数与此暗合。这十年间，主要在南京、扬州江淮一带。然而一曰“负笈”，一曰“馆谷”，前者指求学，后者指教书，并不相同，这为年谱纪年设置了困难。此其一。其二，何时居南京、何时居扬州，亦难知其详。若按到南京，扬州入书院肄业来说，并非所有书院都收外省学生。如此际《申报·整顿书院》云：“近年上元、江宁两县科名之盛，甲于东南，‘天下文枢’，此语可当之而无愧。城内向有两书院，钟山则广收各省之棫，尊经则仅育一郡之菁莪。”虽然黄宾虹晚年填履历表有南京钟山书院和扬州梅花书院高材生之语，却无从确知入两所书院的
幽亭古木图,作画,其他,1884,幽亭古木图,evt_00174,居金陵之际，与贵池刘恭甫订交，刘作《幽亭古木图》扇面以赠，并观其家藏王槩、王蓍兄弟画册。
数奇之士,篆刻,山水,1887,数奇之士; 和赵少舫六十述怀四首; 沪渎杂记; 上海繁昌记; 哭张瑶圃,evt_00214,存考：黄宾虹《数奇之士》一文是截取陈若木《一沤吟馆选集》（1910年刊本）王鉴、臧谷、陈霞章三人序识组合而成的。从《一沤吟馆选集》诸诗及诗注仅知陈崇光原配夫人朱氏殁于1871年之际，之后诗集中祇有云游沪渎江浙一带的诗作，并没有续弦的痕迹可寻。1871年来沪，不久1875年又来沪。所选诗终于1878年前后，仅《和赵少舫六十述怀四首》偶涉其原配夫人朱氏，其第三首云：“平生相遇岂徒然，悟后情怀托四禅。竹醉未妨君子节（君竹醉日生），莩亲忝有弟兄缘（君继室朱与吾亡室，女兄弟也）。人间故剑偏多感，天上明星喜再圆。却羡采衣欢笑罢，传经娇女立灯前。”按诗意，陈若木与赵少舫为连襟，陈的夫人和赵的继室为姐妹，且均
建康实录,篆刻,篆刻,1888,建康实录; 春秋律身录,,
